Date,Lake,Tag Type,Serial Number,Tag Number,PIT Number,Biologger Number,Species,Treatment,Weight,Total_length,Std_length,ID,Notes
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533597,H170-1802-59699,NA,NA,Perch,Control,185.1,24.8,22.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533598,H170-1802-59700,NA,NA,Roach,Control,44.6,17.4,15.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533599,H170-1802-59701,NA,NA,Roach,Control,96.1,21,17.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533600,H170-1802-59702,NA,NA,Perch,Control,76.2,19,16.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533601,H170-1802-59704,NA,NA,Roach,Control,49,17.7,14.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533602,H170-1802-59705,NA,NA,Roach,Control,56.3,17.8,14.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533603,H170-1802-59706,NA,NA,Roach,Control,97.4,21.8,17.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533604,H170-1802-59707,NA,NA,Roach,Control,44.1,16.9,14.7,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533605,H170-1802-59708,NA,NA,Perch,Control,114.3,21.8,19.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533606,H170-1802-59709,NA,NA,Roach,Control,86.5,20.8,17.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533607,H170-1802-59710,NA,NA,Roach,Control,51.7,18,14.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533608,H170-1802-59711,NA,NA,Perch,Control,86.7,20,18.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533609,H170-1802-59712,NA,NA,Perch,Control,116.4,21.8,20.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533610,H170-1802-59713,NA,NA,Roach,Control,62.5,19,15.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533611,H170-1802-59714,NA,NA,Perch,Mix,66.6,20,17.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533612,H170-1802-59715,NA,NA,Perch,Mix,79.2,20,17.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533641,H170-1802-59748,NA,NA,Roach,Mix,41,17,14.5,,"This tag is not in order with trest, because assigned tag 1533613 would not turn on, and thus was replaced."
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533614,H170-1802-59717,NA,NA,Perch,Mix,106.4,21.6,19.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533615,H170-1802-59719,NA,NA,Roach,Mix,52,18.1,15.2,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533616,H170-1802-59720,NA,NA,Perch,Mix,80.3,19.5,17.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533617,H170-1802-59722,NA,NA,Perch,Mix,62.2,18.6,16,,Noticeable implant leaked out when syringe was removed
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533618,H170-1802-59724,NA,NA,Perch,Mix,71.3,18.9,16.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533619,H170-1802-59725,NA,NA,Roach,Mix,137.7,23.8,20,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533620,H170-1802-59726,NA,NA,Perch,Mix,87.6,20,18.2,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533621,H170-1802-59727,NA,NA,Perch,Mix,87.2,20,17.8,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533622,H170-1802-59728,NA,NA,Perch,Mix,72.5,19.3,17,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533623,H170-1802-59729,NA,NA,Roach,Mix,42.4,17,14,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533624,H170-1802-59730,NA,NA,Perch,Mix,74.3,19,17,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533625,H170-1802-59731,NA,NA,Roach,Mix,54.1,17.8,15.4,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533626,H170-1802-59732,NA,NA,Roach,Mix,54.5,18.5,15.6,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533627,H170-1802-59733,NA,NA,Perch,Mix,82.1,20.2,18.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533628,H170-1802-59734,NA,NA,Perch,Mix,67.6,18.7,17,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533629,H170-1802-59735,NA,NA,Perch,Mix,77.1,18.7,17.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533630,H170-1802-59736,NA,NA,Perch,Mix,67,18,16,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533631,H170-1802-59737,NA,NA,Perch,Mix,73.7,19.1,17,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533632,H170-1802-59738,NA,NA,Roach,Mix,44.2,16.7,14.4,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533633,H170-1802-59740,NA,NA,Roach,Mix,42.9,17,14.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533634,H170-1802-59741,NA,NA,Roach,Mix,61.3,18.5,16.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533635,H170-1802-59742,NA,NA,Roach,Mix,54.3,18,15.5,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533636,H170-1802-59743,NA,NA,Roach,Mix,61.1,19.1,16,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533637,H170-1802-59744,NA,NA,Roach,Mix,44.4,17,14.1,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533638,H170-1802-59745,NA,NA,Roach,Mix,48.2,17.8,14.9,,
20/9/2022,Muddyfoot,V5-2x-GRN-0,1533639,H170-1802-59746,NA,NA,Roach,Mix,47.3,17.9,14.8,,
23/9/2022,Muddyfoot,V9-2x-180k-1-B,1533761,H170-1802-59880,NA,CA428,Northern Pike,Control,1015,54,51,,
23/9/2022,Muddyfoot,V9-2x-180k-1-B,1533762,H170-1802-59881,NA,CA429,Northern Pike,Control,1530,62,59,,biologger against stomach wall
23/9/2022,Muddyfoot,V9-2x-180k-1-B,1533763,H170-1802-59882,NA,CA430,Northern Pike,Control,1600,64,56,,biologger angled against muscle wall centre incision
23/9/2022,Muddyfoot,V9-2x-180k-1-B,1533764,H170-1802-59883,NA,CA431,Northern Pike,Mix,1730,67,59,,biologger of centre incision
23/9/2022,Muddyfoot,V9-2x-180k-1-B,1533765,H170-1802-59884,NA,CA432,Northern Pike,Mix,750,50,44,,biologger of centre incision
23/9/2022,Muddyfoot,V9-2x-180k-1-B,1533766,H170-1802-59885,NA,CA433,Northern Pike,Mix,1520,65,58,,biologger of centre incision
21/9/2022,BT,V5-2x-GRN-0,1533642,H170-1802-59749,79778,NA,Perch,Control,201.9,26.4,24,,biologger of centre incision
21/9/2022,BT,V5-2x-GRN-0,1533643,H170-1802-59750,79403,NA,Perch,Control,78,19.8,17.8,,
21/9/2022,BT,V5-2x-GRN-0,1533644,H170-1802-59751,78942,NA,Perch,Control,147.8,23.1,20.8,,
21/9/2022,BT,V5-2x-GRN-0,1533645,H170-1802-59752,79929,NA,Perch,Control,86.9,19.8,17.9,,
21/9/2022,BT,V5-2x-GRN-0,1533646,H170-1802-59753,79296,NA,Perch,Control,46.9,17,14.5,,
21/9/2022,BT,V5-2x-GRN-0,1533647,H170-1802-59754,79387,NA,Perch,Control,54,17,14.7,,
21/9/2022,BT,V5-2x-GRN-0,1533648,H170-1802-59755,79504,NA,Perch,Control,74.2,18.4,16.9,,
21/9/2022,BT,V5-2x-GRN-0,1533649,H170-1802-59756,79467,NA,Perch,Control,82.5,19.5,17.9,,
21/9/2022,BT,V5-2x-GRN-0,1533650,H170-1802-59757,79256,NA,Perch,Control,146.5,23.5,21.2,,
21/9/2022,BT,V5-2x-GRN-0,1533651,H170-1802-59758,79748,NA,Perch,Control,56.4,18.1,15.7,,
21/9/2022,BT,V5-2x-GRN-0,1533652,H170-1802-59760,79600,NA,Perch,Control,78.8,19,17.4,,Noticeable amount of blood came out when syringe removed
21/9/2022,BT,V5-2x-GRN-0,1533653,H170-1802-59762,79305,NA,Perch,Control,83.3,19.5,17.8,,
21/9/2022,BT,V5-2x-GRN-0,1533654,H170-1802-59763,79386,NA,Perch,Control,84.4,20.5,18.5,,
21/9/2022,BT,V5-2x-GRN-0,1533655,H170-1802-59764,79787,NA,Perch,Control,124.3,22.5,20.4,,
21/9/2022,BT,V5-2x-GRN-0,1533656,H170-1802-59765,79609,NA,Perch,Control,64.5,18.3,16.7,,
21/9/2022,BT,V5-2x-GRN-0,1533657,H170-1802-59766,79507,NA,Roach,Control,74.7,19.2,16.5,,
21/9/2022,BT,V5-2x-GRN-0,1533658,H170-1802-59767,79850,NA,Roach,Control,46.2,16.1,14,,
21/9/2022,BT,V5-2x-GRN-0,1533659,H170-1802-59768,79695,NA,Roach,Control,56.7,18.5,15.8,,
21/9/2022,BT,V5-2x-GRN-0,1533660,H170-1802-59770,79859,NA,Roach,Control,99.7,20.9,18,,
21/9/2022,BT,V5-2x-GRN-0,1533661,H170-1802-59772,79536,NA,Roach,Control,36.6,15.5,13.1,,
21/9/2022,BT,V5-2x-GRN-0,1533662,H170-1802-59773,79079,NA,Roach,Control,44.7,16.3,14,,
21/9/2022,BT,V5-2x-GRN-0,1533663,H170-1802-59774,79798,NA,Roach,Control,39.5,16.5,13.4,,
21/9/2022,BT,V5-2x-GRN-0,1533664,H170-1802-59775,79408,NA,Roach,Control,74.9,19.5,16.1,,
21/9/2022,BT,V5-2x-GRN-0,1533665,H170-1802-59776,79560,NA,Roach,Control,45.5,16.6,14.8,,
21/9/2022,BT,V5-2x-GRN-0,1533666,H170-1802-59777,79528,NA,Roach,Control,46.1,16.5,14.1,,
21/9/2022,BT,V5-2x-GRN-0,1533667,H170-1802-59779,79931,NA,Roach,Control,38.5,15.5,13.5,,
21/9/2022,BT,V5-2x-GRN-0,1533668,H170-1802-59780,79895,NA,Roach,Control,63.4,18.4,15,,
21/9/2022,BT,V5-2x-GRN-0,1533669,H170-1802-59781,79150,NA,Roach,Control,38.8,16.5,14,,
21/9/2022,BT,V5-2x-GRN-0,1533670,H170-1802-59782,79884,NA,Roach,Control,40.3,16.3,14,,
21/9/2022,BT,V5-2x-GRN-0,1533671,H170-1802-59783,78976,NA,Roach,Control,41.9,16.3,14.1,,
21/9/2022,BT,V5-2x-GRN-0,1533672,H170-1802-59784,79500,NA,Perch,Mix,233.5,26.8,23.7,,
21/9/2022,BT,V5-2x-GRN-0,1533673,H170-1802-59785,79111,NA,Perch,Mix,90.5,21,18.6,,
21/9/2022,BT,V5-2x-GRN-0,1533674,H170-1802-59786,78934,NA,Perch,Mix,41.7,15.5,13.9,Pele,
21/9/2022,BT,V5-2x-GRN-0,1533675,H170-1802-59787,79806,NA,Perch,Mix,161.2,24.1,21.6,Peter,
21/9/2022,BT,V5-2x-GRN-0,1533676,H170-1802-59789,79261,NA,Perch,Mix,72.3,19.2,17,El Nino,
21/9/2022,BT,V5-2x-GRN-0,1533677,H170-1802-59790,79299,NA,Perch,Mix,44,16,14.3,Treebeard,
21/9/2022,BT,V5-2x-GRN-0,1533678,H170-1802-59791,79857,NA,Perch,Mix,188.8,24.6,22.8,Clementine,
21/9/2022,BT,V5-2x-GRN-0,1533679,H170-1802-59792,79739,NA,Perch,Mix,61.5,19,16.9,Rowdy,
21/9/2022,BT,V5-2x-GRN-0,1533680,H170-1802-59793,79133,NA,Perch,Mix,48.5,17.4,15.1,Giancarlo,
21/9/2022,BT,V5-2x-GRN-0,1533681,H170-1802-59794,79050,NA,Perch,Mix,48.1,16.5,14.7,Pheobe,
21/9/2022,BT,V5-2x-GRN-0,1533682,H170-1802-59795,79541,NA,Perch,Mix,102.9,21.8,18.9,N'chips,
21/9/2022,BT,V5-2x-GRN-0,1533683,H170-1802-59796,79009,NA,Perch,Mix,66.5,18.9,16.5,Macaroni,
21/9/2022,BT,V5-2x-GRN-0,1533684,H170-1802-59797,79525,NA,Perch,Mix,50,17,15,Fahlmann,
21/9/2022,BT,V5-2x-GRN-0,1533685,H170-1802-59799,79586,NA,Perch,Mix,41.2,15.4,13.4,Giblet,
21/9/2022,BT,V5-2x-GRN-0,1533686,H170-1802-59800,79401,NA,Roach,Mix,41,17,13.9,Special Agent Dana Scully,
21/9/2022,BT,V5-2x-GRN-0,1533687,H170-1802-59801,79731,NA,Perch,Mix,93.4,20,17.7,Green Fury,
21/9/2022,BT,V5-2x-GRN-0,1533688,H170-1802-59802,78949,NA,Roach,Mix,60.4,18.7,15.4,Panko,
21/9/2022,BT,V5-2x-GRN-0,1533689,H170-1802-59803,79753,NA,Roach,Mix,40.7,16.8,14,Solo,
21/9/2022,BT,V5-2x-GRN-0,1533690,H170-1802-59804,79879,NA,Roach,Mix,57.3,17.9,15.3,Pasquale,
21/9/2022,BT,V5-2x-GRN-0,1533691,H170-1802-59805,79023,NA,Roach,Mix,45.1,16,14.1,Vlad the Impaler,
21/9/2022,BT,V5-2x-GRN-0,1533692,H170-1802-59807,79794,NA,Roach,Mix,46.4,17.8,14.6,Elizabeth,
21/9/2022,BT,V5-2x-GRN-0,1533693,H170-1802-59808,79035,NA,Roach,Mix,54.3,17.5,14.9,Aperol Spritz,
21/9/2022,BT,V5-2x-GRN-0,1533694,H170-1802-59809,79901,NA,Roach,Mix,41.3,16,14,Daenarys,
21/9/2022,BT,V5-2x-GRN-0,1533695,H170-1802-59810,79805,NA,Roach,Mix,34,15.7,13.1,Turkleton,
21/9/2022,BT,V5-2x-GRN-0,1533696,H170-1802-59811,79862,NA,Roach,Mix,47.3,17.6,14.6,Countchocala,
21/9/2022,BT,V5-2x-GRN-0,1533697,H170-1802-59812,79374,NA,Roach,Mix,52,16.9,14.7,Saul,
21/9/2022,BT,V5-2x-GRN-0,1533698,H170-1802-59813,79712,NA,Roach,Mix,42.7,17.2,14.2,Oatley,
21/9/2022,BT,V5-2x-GRN-0,1533699,H170-1802-59814,79160,NA,Roach,Mix,34.2,15.5,13.4,Junkyard Dog,
21/9/2022,BT,V5-2x-GRN-0,1533700,H170-1802-59815,79429,NA,Roach,Mix,33.7,15.6,13,Muchacho,
23/9/2022,BT,V5-2x-GRN-0,1533701,H170-1802-59816,79258,NA,Roach,Mix,35,15,13.5,Puzzles,
23/9/2022,BT,V9-2x-180k-1-B,1533767,H170-1802-59886,NA,CAL434,Northern Pike,Control,2550,78,70,,
23/9/2022,BT,V9-2x-180k-1-B,1533768,H170-1802-59887,NA,MAL526,Northern Pike,Control,1000,56,50,,biologger of centre incision
23/9/2022,BT,V9-2x-180k-1-B,1533769,H170-1802-59888,NA,CAL435,Northern Pike,Control,1620,62,55,,biologger of centre incision
23/9/2022,BT,V9-2x-180k-1-B,1533770,H170-1802-59889,NA,CAL436,Northern Pike,Mix,1310,61,55,,biologger of centre incision
23/9/2022,BT,V9-2x-180k-1-B,1533771,H170-1802-59891,NA,CAL437,Northern Pike,Mix,2860,81,70,,"This pike has open wounds on its back, didn't look so good when released into the lake."
23/9/2022,BT,V9-2x-180k-1-B,1533772,H170-1802-59892,NA,CAL439,Northern Pike,Mix,1220,59,52,,biologger of centre incision
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533702,H170-1802-59817,78982,NA,Roach,Control,42.1,16.6,14.3,Lil Rammstein,biologger of centre incision
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533703,H170-1802-59818,79663,NA,Roach,Control,56.6,17.5,15.7,Sharkie,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533704,H170-1802-59819,79334,NA,Roach,Control,32.8,14.7,13,Dill Pickle,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533705,H170-1802-59820,79314,NA,Roach,Control,26.1,14.6,12,Littlefinger,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533706,H170-1802-59821,79574,NA,Roach,Control,27.1,13.8,12,Pipsqueak,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533707,H170-1802-59822,78975,NA,Roach,Control,48,17.3,14.1,Sir Lancelot,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533708,H170-1802-59823,79360,NA,Roach,Control,50.2,17.1,14.2,Hotrod,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533709,H170-1802-59825,79627,NA,Roach,Control,33.6,15.2,13,BrünSauce,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533710,H170-1802-59826,79105,NA,Roach,Control,30,14.8,12.5,Ariel,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533711,H170-1802-59827,79866,NA,Roach,Control,48.6,17,14.5,Michael Bertram,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533712,H170-1802-59828,79043,NA,Roach,Mix,36.8,15.4,13.4,Saint Alberto Magnus,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533713,H170-1802-59829,79063,NA,Roach,Mix,40.2,16,14.3,Freya,Injured gill
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533714,H170-1802-59830,79845,NA,Roach,Mix,43.3,16.3,14,Moose,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533715,H170-1802-59831,79892,NA,Roach,Mix,37.8,15.6,13.1,Flipper,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533716,H170-1802-59832,79816,NA,Roach,Mix,49,17.9,14.5,Dickie,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533717,H170-1802-59833,79462,NA,Roach,Mix,47.7,17.2,14.9,Alexaander the Great,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533718,H170-1802-59834,79338,NA,Roach,Mix,40.1,15.8,13.5,Lokie,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533719,H170-1802-59835,79064,NA,Roach,Mix,40.2,15.9,13.6,Ketchup,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533720,H170-1802-59836,79788,NA,Roach,Mix,42.2,16.7,13.8,Slim Shady,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533721,H170-1802-59837,79910,NA,Roach,Mix,36.1,16.1,13.5,Stellan Skasgard,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533722,H170-1802-59838,79250,NA,Perch,Mix,119.9,22,19.8,Eduard,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533723,H170-1802-59839,79843,NA,Perch,Mix,230.7,26,24,Zlatan,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533724,H170-1802-59840,79522,NA,Perch,Mix,66,18,15.8,Princess Leia,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533725,H170-1802-59841,79645,NA,Perch,Mix,37.6,15.5,13.7,Spike,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533726,H170-1802-59842,79238,NA,Perch,Mix,40.2,15.6,13.9,Schnapps,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533727,H170-1802-59843,79092,NA,Perch,Mix,61.7,18,15.9,Buffy,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533728,H170-1802-59844,79251,NA,Perch,Mix,99.4,20.7,18.8,Sherman,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533729,H170-1802-59845,79801,NA,Perch,Mix,82.7,19.4,17.6,Kusev Oslander,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533730,H170-1802-59846,79582,NA,Perch,Mix,69.9,19,17,Macho Man,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533731,H170-1802-59847,79167,NA,Perch,Mix,86.8,19.8,17.8,Dunno,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533732,H170-1802-59848,78983,NA,Perch,Mix,122,21.4,19.5,Old bay,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533733,H170-1802-59849,79325,NA,Perch,Mix,99.4,20.5,18.8,Stifler,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533734,H170-1802-59850,79795,NA,Perch,Mix,87.3,20,17.9,Pingu,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533735,H170-1802-59851,79000,NA,Perch,Mix,46.7,16,14.3,You're a Wizard Harry,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533736,H170-1802-59852,79610,NA,Perch,Mix,62.8,17.5,16,Stifler's Mum,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533737,H170-1802-59853,79633,NA,Perch,Mix,73.5,19,17,Vermicelli,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533738,H170-1802-59854,79537,NA,Perch,Mix,64,18,16.2,Xena Warrior Princess,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533739,H170-1802-59855,79002,NA,Perch,Mix,83.6,19.4,17.3,Pablo,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533740,H170-1802-59856,79247,NA,Perch,Mix,57.7,17.6,15.9,Oddjob,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533741,H170-1802-59857,79789,NA,Perch,Mix,54.8,17.5,15.6,Chucky,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533742,H170-1802-59858,79727,NA,Perch,Control,133.3,22.5,20,Cheeto,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533743,H170-1802-59859,79362,NA,Perch,Control,167.2,24.6,21.6,Maverick,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533744,H170-1802-59860,79378,NA,Perch,Control,87.6,19.5,18,Duncan,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533745,H170-1802-59861,79042,NA,Perch,Control,143.9,23,21,Bridget,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533746,H170-1802-59862,79098,NA,Perch,Control,85,19.7,18,Moss,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533747,H170-1802-59864,79205,NA,Perch,Control,50.2,18.1,16,Crème Fraiche,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533748,H170-1802-59865,79024,NA,Perch,Control,72.3,18.8,16.8,Kelso,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533749,H170-1802-59866,79655,NA,Perch,Control,92.3,20.6,18,Donatello,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533750,H170-1802-59868,78948,NA,Perch,Control,55.5,17,15.3,Beetlejuice,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533751,H170-1802-59869,79559,NA,Perch,Control,88.9,20,18.4,Garfield,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533752,H170-1802-59870,79903,NA,Perch,Control,78.3,19.1,17,Cloudberry,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533753,H170-1802-59871,79066,NA,Perch,Control,72.4,19,16.8,Wallenberg,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533754,H170-1802-59872,79752,NA,Perch,Control,49.9,16.5,14.6,Dingo,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533755,H170-1802-59873,79414,NA,Perch,Control,84.8,19.8,17.8,FilletO,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533756,H170-1802-59874,79515,NA,Perch,Control,59.6,18,15.9,Bendar,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533757,H170-1802-59875,79227,NA,Perch,Control,80.8,19.8,17.8,Champers,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533758,H170-1802-59877,79524,NA,Perch,Control,67,18.3,16,Archimedes,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533759,H170-1802-59878,79793,NA,Perch,Control,63.6,18,16,John Wick,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533760,H170-1802-59879,79721,NA,Perch,Control,52.3,17.1,15,Elrond,
22/9/2022,Cow Paradise,V5-2x-GRN-0,1533640,H170-1802-59747,79466,NA,Perch,Control,76.4,18.9,16.9,Darwin,
23/9/2022,Cow Paradise,V9-2x-180k-1-B,1533773,H170-1802-59893,NA,CAL440,Northern Pike,Control,1230,60,52,,biologger of centre incision
23/9/2022,Cow Paradise,V9-2x-180k-1-B,1533774,H170-1802-59894,NA,CAL441,Northern Pike,Control,1660,62,55,,biologger of centre incision
23/9/2022,Cow Paradise,V9-2x-180k-1-B,1533775,H170-1802-59895,NA,CAL442,Northern Pike,Control,1220,57,51,,biologger of centre incision
23/9/2022,Cow Paradise,V9-2x-180k-1-B,1533776,H170-1802-59896,NA,CAL443,Northern Pike,Mix,1520,64,57,,biologger of centre incision
23/9/2022,Cow Paradise,V9-2x-180k-1-B,1533777,H170-1802-59897,NA,CAL444,Northern Pike,Mix,1170,58,51,,biologger of centre incision
23/9/2022,Cow Paradise,V9-2x-180k-1-B,1533778,H170-1802-59898,NA,CAL445,Northern Pike,Mix,920,52,46,,biologger of centre incision
