Date,Lake,Serial Number,Tag Number,Species,Treatment,Weight,Total_length,Std_length,Sample_num,Samples_taken,Found,Known_predated,Notes
10/31/2022,Muddyfoot,1533606,H170-1802-59709,Roach,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533607,H170-1802-59710,Roach,Control,55.3,17.8,14.9,35,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533608,H170-1802-59711,Perch,Control,85.6,20.2,18,29,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533609,H170-1802-59712,Perch,Control,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533610,H170-1802-59713,Roach,Control,66.2,18.9,15.3,39,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533611,H170-1802-59714,Perch,Mix,64.1,20.2,17.3,10,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533612,H170-1802-59715,Perch,Mix,77.3,20,17.5,45,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533641,H170-1802-59748,Roach,Mix,43.5,17,14.4,26,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533614,H170-1802-59717,Perch,Mix,105.6,21.6,19.1,21,"m,b,g",1,0,found dead
10/31/2022,Muddyfoot,1533615,H170-1802-59719,Roach,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533616,H170-1802-59720,Perch,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533617,H170-1802-59722,Perch,Mix,63.6,18.6,15.7,3,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533618,H170-1802-59724,Perch,Mix,72.2,18.9,16.4,25,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533619,H170-1802-59725,Roach,Mix,134.1,23.4,20.1,33,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533620,H170-1802-59726,Perch,Mix,92.4,19.9,17.9,2,"m,b,g",1,0,found dead
10/31/2022,Muddyfoot,1533621,H170-1802-59727,Perch,Mix,86.3,20.4,17.3,11,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533622,H170-1802-59728,Perch,Mix,68.1,19,16.8,42,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533623,H170-1802-59729,Roach,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533624,H170-1802-59730,Perch,Mix,70.2,19,16.9,12,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533625,H170-1802-59731,Roach,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533626,H170-1802-59732,Roach,Mix,56.7,18.4,15.3,38,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533627,H170-1802-59733,Perch,Mix,79.1,20.2,17.9,46,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533628,H170-1802-59734,Perch,Mix,65.2,18.5,16.7,32,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533629,H170-1802-59735,Perch,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533630,H170-1802-59736,Perch,Mix,66.4,18,16,31,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533631,H170-1802-59737,Perch,Mix,69.1,18.9,16.8,22,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533632,H170-1802-59738,Roach,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533633,H170-1802-59740,Roach,Mix,42.8,17,14.4,41,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533634,H170-1802-59741,Roach,Mix,62.6,18.4,15.8,18,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533635,H170-1802-59742,Roach,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533636,H170-1802-59743,Roach,Mix,58.9,18.9,15.8,19,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533637,H170-1802-59744,Roach,Mix,41.2,16.9,14,14,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533638,H170-1802-59745,Roach,Mix,NA,NA,NA,,NA,0,0,
10/31/2022,Muddyfoot,1533639,H170-1802-59746,Roach,Mix,49.6,18.1,14.8,40,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533761,H170-1802-59880,Northern Pike,Control,0.965,52,46,5,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533762,H170-1802-59881,Northern Pike,Control,1.495,61,55,8,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533763,H170-1802-59882,Northern Pike,Control,1.605,64,56,4,"m,b,g",1,0,"Ate 59692, tag found in stomach"
10/31/2022,Muddyfoot,1533764,H170-1802-59883,Northern Pike,Mix,1.64,65.5,58,9,"m,b,g",1,0,
10/31/2022,Muddyfoot,1533765,H170-1802-59884,Northern Pike,Mix,0.71,49.5,43.4,7,"m,b,g",1,0,"Had a roach in its stomach, but had no tag"
10/31/2022,Muddyfoot,1533766,H170-1802-59885,Northern Pike,Mix,1.585,65,57.5,6,"m,b,g",1,0,
10/31/2022,BT,1533642,H170-1802-59749,Perch,Control,194.3,26.1,23.1,67,,1,0,
10/31/2022,BT,1533643,H170-1802-59750,Perch,Control,NA,NA,NA,,NA,0,0,
10/31/2022,BT,1533644,H170-1802-59751,Perch,Control,128.6,23,20.9,60,,1,0,
10/31/2022,BT,1533645,H170-1802-59752,Perch,Control,NA,NA,NA,,NA,0,0,
10/31/2022,BT,1533646,H170-1802-59753,Perch,Control,45.4,16.4,14.6,90,,1,0,*
10/31/2022,BT,1533647,H170-1802-59754,Perch,Control,52.6,17,14.8,57,,1,0,
10/31/2022,BT,1533648,H170-1802-59755,Perch,Control,74.5,18.4,16.9,,,0,0,Not sampled
10/31/2022,BT,1533649,H170-1802-59756,Perch,Control,78.9,19.4,17.9,72,,1,0,*
10/31/2022,BT,1533650,H170-1802-59757,Perch,Control,NA,NA,NA,,,0,0,
10/31/2022,BT,1533651,H170-1802-59758,Perch,Control,58,18.2,15.7,56,,1,0,
10/31/2022,BT,1533652,H170-1802-59760,Perch,Control,75.3,19.1,17.2,59,,1,0,
10/31/2022,BT,1533653,H170-1802-59762,Perch,Control,86.6,19.5,17.5,62,,1,0,
10/31/2022,BT,1533654,H170-1802-59763,Perch,Control,85.1,20,18.5,80,,1,0,*
10/31/2022,BT,1533655,H170-1802-59764,Perch,Control,NA,NA,NA,,,0,0,
10/31/2022,BT,1533656,H170-1802-59765,Perch,Control,64.4,18.3,16.4,69,,1,0,
10/31/2022,BT,1533657,H170-1802-59766,Roach,Control,81.4,19.1,16.9,83 or 85,,1,0,Erin forgot which sample number
10/31/2022,BT,1533658,H170-1802-59767,Roach,Control,44.6,16.3,14.4,91,,1,0,
10/31/2022,BT,1533659,H170-1802-59768,Roach,Control,60.4,18.9,15.8,55,,1,0,
10/31/2022,BT,1533660,H170-1802-59770,Roach,Control,104.2,20.5,17.9,88,,1,0,*
10/31/2022,BT,1533661,H170-1802-59772,Roach,Control,38.1,15.5,13.4,83 or 85,,1,0,Erin forgot which sample number
10/31/2022,BT,1533662,H170-1802-59773,Roach,Control,44.7,16.4,14.1,53,,1,0,
10/31/2022,BT,1533663,H170-1802-59774,Roach,Control,NA,NA,NA,,,0,1,Inside pike 48
10/31/2022,BT,1533664,H170-1802-59775,Roach,Control,79.7,19,16.2,78,,1,0,
10/31/2022,BT,1533665,H170-1802-59776,Roach,Control,NA,NA,NA,,,0,0,
10/31/2022,BT,1533666,H170-1802-59777,Roach,Control,NA,NA,NA,,,0,0,
10/31/2022,BT,1533667,H170-1802-59779,Roach,Control,39.5,15.4,13.6,77,,1,0,
10/31/2022,BT,1533668,H170-1802-59780,Roach,Control,66.1,18,15.2,82,,1,0,
10/31/2022,BT,1533669,H170-1802-59781,Roach,Control,39.4,16.5,14.3,84,,1,0,
10/31/2022,BT,1533670,H170-1802-59782,Roach,Control,43.6,16.4,13.9,70,,1,0,
10/31/2022,BT,1533671,H170-1802-59783,Roach,Control,NA,NA,NA,,,0,0,
10/31/2022,BT,1533672,H170-1802-59784,Perch,Mix,226.9,26.8,24.4,61,,1,0,
10/31/2022,BT,1533673,H170-1802-59785,Perch,Mix,90.7,21.1,18.2,58,,1,0,
10/31/2022,BT,1533674,H170-1802-59786,Perch,Mix,40.4,15.2,13.5,86,,1,0,
10/31/2022,BT,1533675,H170-1802-59787,Perch,Mix,159.8,24.1,22,89,,1,0,
10/31/2022,BT,1533676,H170-1802-59789,Perch,Mix,69.2,19,17.2,73,,1,0,
10/31/2022,BT,1533677,H170-1802-59790,Perch,Mix,NA,NA,NA,,,0,0,
10/31/2022,BT,1533678,H170-1802-59791,Perch,Mix,190,24.6,22.9,87,,1,0,*
10/31/2022,BT,1533679,H170-1802-59792,Perch,Mix,NA,NA,NA,,,0,0,
10/31/2022,BT,1533680,H170-1802-59793,Perch,Mix,48.6,17.1,15.2,51,,1,0,
10/31/2022,BT,1533681,H170-1802-59794,Perch,Mix,46.5,16,14.4,66,,1,0,
10/31/2022,BT,1533682,H170-1802-59795,Perch,Mix,104.9,22,18.8,68,,1,0,
10/31/2022,BT,1533683,H170-1802-59796,Perch,Mix,70.4,18.5,16.3,81,,1,0,*
10/31/2022,BT,1533684,H170-1802-59797,Perch,Mix,49.1,17.2,14.8,50,,1,0,
10/31/2022,BT,1533685,H170-1802-59799,Perch,Mix,40,15.2,13.5,74,,1,0,
10/31/2022,BT,1533686,H170-1802-59800,Roach,Mix,43.4,16.8,13.8,71,,1,0,*
10/31/2022,BT,1533687,H170-1802-59801,Perch,Mix,NA,NA,NA,,,0,0,
10/31/2022,BT,1533688,H170-1802-59802,Roach,Mix,65.4,18.5,15.5,76,,1,0,
10/31/2022,BT,1533689,H170-1802-59803,Roach,Mix,42.5,16.3,14.1,,,0,0,Not sampled
10/31/2022,BT,1533690,H170-1802-59804,Roach,Mix,61,18,15.4,64,,1,0,
10/31/2022,BT,1533691,H170-1802-59805,Roach,Mix,47.9,16.2,14,65,,1,0,
10/31/2022,BT,1533692,H170-1802-59807,Roach,Mix,49.2,17.5,14.7,,,0,0,Not sampled
10/31/2022,BT,1533693,H170-1802-59808,Roach,Mix,57.3,17.6,14.8,63,,1,0,
10/31/2022,BT,1533694,H170-1802-59809,Roach,Mix,40.5,15.5,14,,,0,0,Not sampled
10/31/2022,BT,1533695,H170-1802-59810,Roach,Mix,NA,NA,NA,,,0,0,
10/31/2022,BT,1533696,H170-1802-59811,Roach,Mix,50,17.3,15.8,79,,1,0,*
10/31/2022,BT,1533697,H170-1802-59812,Roach,Mix,55.3,17,15,,,0,0,Not sampled
10/31/2022,BT,1533698,H170-1802-59813,Roach,Mix,45.1,17.4,14.5,54,,1,0,
10/31/2022,BT,1533699,H170-1802-59814,Roach,Mix,35.1,15.8,13.5,52,,1,0,
10/31/2022,BT,1533700,H170-1802-59815,Roach,Mix,34.3,15.5,13.2,,,0,0,Not sampled
10/31/2022,BT,1533701,H170-1802-59816,Roach,Mix,48.4,16,14.3,75,,1,0,*
10/31/2022,BT,1533767,H170-1802-59886,Northern Pike,Control,NA,NA,NA,,,0,0,
10/31/2022,BT,1533768,H170-1802-59887,Northern Pike,Control,1.005,54,47.5,48,,1,0,Roach inside stomach PIT 79798
10/31/2022,BT,1533769,H170-1802-59888,Northern Pike,Control,1.545,60,54,49,,1,0,
10/31/2022,BT,1533770,H170-1802-59889,Northern Pike,Mix,NA,NA,NA,,,0,0,
10/31/2022,BT,1533771,H170-1802-59891,Northern Pike,Mix,2.655,76.5,68.7,47,,1,0,
10/31/2022,BT,1533772,H170-1802-59892,Northern Pike,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533702,H170-1802-59817,Roach,Control,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533703,H170-1802-59818,Roach,Control,59.6,17.8,15.2,129,,1,0,
11/01/2022,Cow Paradise,1533704,H170-1802-59819,Roach,Control,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533705,H170-1802-59820,Roach,Control,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533706,H170-1802-59821,Roach,Control,27.9,14,12.1,106,,1,0,
11/01/2022,Cow Paradise,1533707,H170-1802-59822,Roach,Control,50.1,17.5,14.2,104,,1,0,
11/01/2022,Cow Paradise,1533708,H170-1802-59823,Roach,Control,47.7,17,14.5,111,,1,0,
11/01/2022,Cow Paradise,1533709,H170-1802-59825,Roach,Control,34.2,15.5,13.2,130,,1,0,
11/01/2022,Cow Paradise,1533710,H170-1802-59826,Roach,Control,NA,NA,NA,,,0,1,Eaten by pike #95
11/01/2022,Cow Paradise,1533711,H170-1802-59827,Roach,Control,51.1,17.3,14.5,131,,1,0,
11/01/2022,Cow Paradise,1533712,H170-1802-59828,Roach,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533713,H170-1802-59829,Roach,Mix,41.3,16.5,14.4,112,,1,0,
11/01/2022,Cow Paradise,1533714,H170-1802-59830,Roach,Mix,45.9,16.5,14,98,,1,0,
11/01/2022,Cow Paradise,1533715,H170-1802-59831,Roach,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533716,H170-1802-59832,Roach,Mix,49.7,18.2,14.8,123,,1,0,
11/01/2022,Cow Paradise,1533717,H170-1802-59833,Roach,Mix,51.1,17.4,15.9,134,,1,0,
11/01/2022,Cow Paradise,1533718,H170-1802-59834,Roach,Mix,42.3,16.1,13.6,113,,1,0,
11/01/2022,Cow Paradise,1533719,H170-1802-59835,Roach,Mix,42.6,16.3,13.8,99,,1,0,
11/01/2022,Cow Paradise,1533720,H170-1802-59836,Roach,Mix,43.5,16.9,13.9,128,,1,0,
11/01/2022,Cow Paradise,1533721,H170-1802-59837,Roach,Mix,39.6,16.4,13.6,132,,1,0,
11/01/2022,Cow Paradise,1533722,H170-1802-59838,Perch,Mix,120.5,22,19.8,135,,1,0,
11/01/2022,Cow Paradise,1533723,H170-1802-59839,Perch,Mix,259.6,26.6,24,97,,1,0,
11/01/2022,Cow Paradise,1533724,H170-1802-59840,Perch,Mix,67.4,18.1,15.8,141,,1,0,
11/01/2022,Cow Paradise,1533725,H170-1802-59841,Perch,Mix,36.5,15.5,13.6,125,,1,0,
11/01/2022,Cow Paradise,1533726,H170-1802-59842,Perch,Mix,39.7,16,13.9,140,,1,0,
11/01/2022,Cow Paradise,1533727,H170-1802-59843,Perch,Mix,65.3,18.2,15.8,115,,1,0,
11/01/2022,Cow Paradise,1533728,H170-1802-59844,Perch,Mix,113.9,20.9,18.8,138,,1,0,
11/01/2022,Cow Paradise,1533729,H170-1802-59845,Perch,Mix,81.5,19.7,17.2,124,,1,0,
11/01/2022,Cow Paradise,1533730,H170-1802-59846,Perch,Mix,75,19.3,17.2,124,,1,0,
11/01/2022,Cow Paradise,1533731,H170-1802-59847,Perch,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533732,H170-1802-59848,Perch,Mix,119.5,21.6,19.5,119,,1,0,
11/01/2022,Cow Paradise,1533733,H170-1802-59849,Perch,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533734,H170-1802-59850,Perch,Mix,91.3,20,17.7,101,,1,0,
11/01/2022,Cow Paradise,1533735,H170-1802-59851,Perch,Mix,49.9,16,14.2,123,,1,0,
11/01/2022,Cow Paradise,1533736,H170-1802-59852,Perch,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533737,H170-1802-59853,Perch,Mix,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533738,H170-1802-59854,Perch,Mix,64.2,17.5,15.9,105,,1,0,
11/01/2022,Cow Paradise,1533739,H170-1802-59855,Perch,Mix,86.1,19.9,17.4,117,,1,0,
11/01/2022,Cow Paradise,1533740,H170-1802-59856,Perch,Mix,61,18,15.8,127,,1,0,
11/01/2022,Cow Paradise,1533741,H170-1802-59857,Perch,Mix,60.9,17.6,15.8,118,,1,0,
11/01/2022,Cow Paradise,1533742,H170-1802-59858,Perch,Control,154,22.9,20.3,137,,1,0,
11/01/2022,Cow Paradise,1533743,H170-1802-59859,Perch,Control,179.9,25,21.7,120,,1,0,
11/01/2022,Cow Paradise,1533744,H170-1802-59860,Perch,Control,85.7,20,18,126,,1,0,
11/01/2022,Cow Paradise,1533745,H170-1802-59861,Perch,Control,139.6,23.2,20.5,100,,1,0,
11/01/2022,Cow Paradise,1533746,H170-1802-59862,Perch,Control,91,20,18,107,,1,0,
11/01/2022,Cow Paradise,1533747,H170-1802-59864,Perch,Control,55.1,18.5,16,143,,1,0,
11/01/2022,Cow Paradise,1533748,H170-1802-59865,Perch,Control,80.1,18.9,16,116,,1,0,
11/01/2022,Cow Paradise,1533749,H170-1802-59866,Perch,Control,98.4,21,18.1,136,,1,0,
11/01/2022,Cow Paradise,1533750,H170-1802-59868,Perch,Control,61,17.2,15.5,108,,1,0,
11/01/2022,Cow Paradise,1533751,H170-1802-59869,Perch,Control,99.1,20.2,18.3,139,,1,0,
11/01/2022,Cow Paradise,1533752,H170-1802-59870,Perch,Control,79.6,19.5,17,121,,1,0,
11/01/2022,Cow Paradise,1533753,H170-1802-59871,Perch,Control,76.7,19.5,16.7,122,,1,0,
11/01/2022,Cow Paradise,1533754,H170-1802-59872,Perch,Control,48.7,17,14.5,142,,1,0,
11/01/2022,Cow Paradise,1533755,H170-1802-59873,Perch,Control,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533756,H170-1802-59874,Perch,Control,65.8,18.4,15.6,103,,1,0,
11/01/2022,Cow Paradise,1533757,H170-1802-59875,Perch,Control,83.8,19.7,17.6,102,,1,0,
11/01/2022,Cow Paradise,1533758,H170-1802-59877,Perch,Control,70.6,18.6,16,114,,1,0,
11/01/2022,Cow Paradise,1533759,H170-1802-59878,Perch,Control,NA,NA,NA,,,0,0,
11/01/2022,Cow Paradise,1533760,H170-1802-59879,Perch,Control,54.1,17.3,14.9,96,,1,0,
11/01/2022,Cow Paradise,1533640,H170-1802-59747,Perch,Control,80.1,19.2,17,110,,1,0,
11/01/2022,Cow Paradise,1533773,H170-1802-59893,Northern Pike,Control,NA,NA,NA,,,0,0,Found dead
11/01/2022,Cow Paradise,1533774,H170-1802-59894,Northern Pike,Control,1.59,59,54.5,94,,1,0,
11/01/2022,Cow Paradise,1533775,H170-1802-59895,Northern Pike,Control,1.165,56,49.5,95,,1,0,Predated roach #79105
11/01/2022,Cow Paradise,1533776,H170-1802-59896,Northern Pike,Mix,NA,NA,NA,,,0,0,Found dead
11/01/2022,Cow Paradise,1533777,H170-1802-59897,Northern Pike,Mix,1.1,57,50.5,92,,1,0,
11/01/2022,Cow Paradise,1533778,H170-1802-59898,Northern Pike,Mix,0.855,51.6,45,93,,1,0,
